jaw;larynx;lip;F1;F2;ScaledF1;ScaledF2;Note;
23.0;110.0;R;508;1142;635,9407407;1429,614815;N/a;
20.0;105.0;R;509;1203;637,1925926;1505,977778;N/a;
15.0;85.0;R;511;1148;639,6962963;1437,125926;N/a;
19.0;100.0;R;511;1201;639,6962963;1503,474074;N/a;
14.0;90.0;S;513;1348;642,2;1687,496296;N/a;
18.0;95.0;R;513;1173;642,2;1468,422222;N/a;
21.0;105.0;R;513;1165;642,2;1458,407407;N/a;
20.0;110.0;S;518;1323;648,4592593;1656,2;N/a;
17.0;100.0;S;519;1295;649,7111111;1621,148148;N/a;
19.0;105.0;S;519;1323;649,7111111;1656,2;N/a;
21.0;110.0;S;521;1264;652,2148148;1582,340741;N/a;
24.0;110.0;R;521;1154;652,2148148;1444,637037;N/a;
18.0;100.0;S;523;1305;654,7185185;1633,666667;N/a;
22.0;105.0;R;524;1208;655,9703704;1512,237037;N/a;
23.0;105.0;R;526;1160;658,4740741;1452,148148;N/a;
14.0;85.0;S;528;1295;660,9777778;1621,148148;N/a;
16.0;95.0;S;528;1312;660,9777778;1642,42963;N/a;
17.0;90.0;R;531;1185;664,7333333;1483,444444;N/a;
20.0;100.0;R;531;1227;664,7333333;1536,022222;N/a;
22.0;110.0;S;531;1311;664,7333333;1641,177778;N/a;
16.0;85.0;R;533;1177;667,237037;1473,42963;N/a;
21.0;100.0;R;534;1192;668,4888889;1492,207407;N/a;
23.0;110.0;S;534;1247;668,4888889;1561,059259;N/a;
25.0;110.0;R;534;1160;668,4888889;1452,148148;N/a;
19.0;95.0;R;536;1228;670,9925926;1537,274074;N/a;
20.0;105.0;S;538;1342;673,4962963;1679,985185;N/a;
18.0;90.0;R;539;1207;674,7481481;1510,985185;N/a;
15.0;90.0;S;541;1400;677,2518519;1752,592593;N/a;
19.0;100.0;S;541;1347;677,2518519;1686,244444;N/a;
24.0;105.0;R;541;1175;677,2518519;1470,925926;N/a;
21.0;105.0;S;543;1282;679,7555556;1604,874074;N/a;
17.0;95.0;S;548;1320;686,0148148;1652,444444;N/a;
22.0;100.0;R;548;1233;686,0148148;1543,533333;N/a;
24.0;110.0;S;548;1257;686,0148148;1573,577778;N/a;
18.0;95.0;S;549;1332;687,2666667;1667,466667;N/a;
23.0;100.0;R;549;1188;687,2666667;1487,2;N/a;
16.0;90.0;S;553;1329;692,2740741;1663,711111;N/a;
22.0;105.0;S;553;1330;692,2740741;1664,962963;N/a;
15.0;85.0;S;556;1343;696,0296296;1681,237037;N/a;
20.0;95.0;R;556;1269;696,0296296;1588,6;N/a;
23.0;105.0;S;556;1267;696,0296296;1586,096296;N/a;
25.0;105.0;R;556;1185;696,0296296;1483,444444;N/a;
